Task,AUC-ROC,Accuracy (%),#Samples
NR-AR,0.7645526960784312,96.83720930232558,1075
NR-AR-LBD,0.8191773504273505,97.3973973973974,999
NR-AhR,0.8945367360860319,91.12487100103199,969
NR-Aromatase,0.8368315239244069,96.85681024447031,859
NR-ER,0.7082866379310344,88.75545851528385,916
NR-ER-LBD,0.8144462957313495,96.5183752417795,1034
NR-PPAR-gamma,0.8071546732837056,97.28033472803347,956
SR-ARE,0.8049544648613798,85.29411764705883,884
SR-ATAD5,0.8578483954590149,95.85296889726673,1061
SR-HSE,0.8589108910891088,94.58896982310094,961
SR-MMP,0.8866647070350774,88.95281933256616,869
SR-p53,0.8573458504965354,94.08866995073892,1015
